"Data Import Template"
"Table:","Property Setter"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Property Setter","","","","","","",""
"Column Labels:","ID","DocType or Field","DocType","Property","Set Value","Field Name","Property Type","Default Value"
"","""Item-selling_cost_center-idx""","DocField","Item","idx","88","selling_cost_center","Int",""
"","""Item-income_account-idx""","DocField","Item","idx","87","income_account","Int",""
"","""Item-max_discount-idx""","DocField","Item","idx","86","max_discount","Int",""
"","""Item-is_service_item-idx""","DocField","Item","idx","85","is_service_item","Int",""
"","""Item-is_sales_item-idx""","DocField","Item","idx","84","is_sales_item","Int",""
"","""Item-sales_details-idx""","DocField","Item","idx","83","sales_details","Int",""
"","""Item-item_supplier_details-idx""","DocField","Item","idx","82","item_supplier_details","Int",""
"","""Item-manufacturer_part_no-idx""","DocField","Item","idx","81","manufacturer_part_no","Int",""
"","""Item-manufacturer-idx""","DocField","Item","idx","80","manufacturer","Int",""
"","""Item-uom_conversion_details-idx""","DocField","Item","idx","79","uom_conversion_details","Int",""
"","""Item-column_break2-idx""","DocField","Item","idx","78","column_break2","Int",""
"","""Item-last_purchase_rate-idx""","DocField","Item","idx","77","last_purchase_rate","Int",""
"","""Item-buying_cost_center-idx""","DocField","Item","idx","76","buying_cost_center","Int",""
"","""Item-expense_account-idx""","DocField","Item","idx","75","expense_account","Int",""
"","""Item-lead_time_days-idx""","DocField","Item","idx","74","lead_time_days","Int",""
"","""Item-default_supplier-idx""","DocField","Item","idx","73","default_supplier","Int",""
"","""Item-is_purchase_item-idx""","DocField","Item","idx","72","is_purchase_item","Int",""
"","""Item-purchase_details-idx""","DocField","Item","idx","71","purchase_details","Int",""
"","""Item-item_reorder-idx""","DocField","Item","idx","70","item_reorder","Int",""
"","""Item-section_break_31-idx""","DocField","Item","idx","69","section_break_31","Int",""
"","""Item-re_order_qty-idx""","DocField","Item","idx","68","re_order_qty","Int",""
"","""Item-re_order_level-idx""","DocField","Item","idx","67","re_order_level","Int",""
"","""Item-reorder_section-idx""","DocField","Item","idx","66","reorder_section","Int",""
"","""Item-weight_uom-idx""","DocField","Item","idx","63","weight_uom","Int",""
"","""Item-net_weight-idx""","DocField","Item","idx","62","net_weight","Int",""
"","""Item-end_of_life-idx""","DocField","Item","idx","61","end_of_life","Int",""
"","""Item-warranty_period-idx""","DocField","Item","idx","60","warranty_period","Int",""
"","""Item-serial_no_series-idx""","DocField","Item","idx","59","serial_no_series","Int",""
"","""Item-has_serial_no-idx""","DocField","Item","idx","58","has_serial_no","Int",""
"","""Item-has_batch_no-idx""","DocField","Item","idx","57","has_batch_no","Int",""
"","""Item-is_asset_item-idx""","DocField","Item","idx","56","is_asset_item","Int",""
"","""Item-column_break1-idx""","DocField","Item","idx","55","column_break1","Int",""
"","""Item-min_order_qty-idx""","DocField","Item","idx","54","min_order_qty","Int",""
"","""Item-valuation_method-idx""","DocField","Item","idx","53","valuation_method","Int",""
"","""Item-tolerance-idx""","DocField","Item","idx","52","tolerance","Int",""
"","""Item-default_warehouse-idx""","DocField","Item","idx","51","default_warehouse","Int",""
"","""Item-is_stock_item-idx""","DocField","Item","idx","48","is_stock_item","Int",""
"","""Item-inventory-idx""","DocField","Item","idx","47","inventory","Int",""
"","""Item-description_html-idx""","DocField","Item","idx","28","description_html","Int",""
"","""Item-add_image-idx""","DocField","Item","idx","27","add_image","Int",""
"","""Item-_idx""","DocType","Item","_idx","[""name_and_description_section"", ""barcode_img"", ""item_group"", ""item_sub_group"", ""series"", ""supplier_code"", ""swatch_id"", ""item_code"", ""item_name"", ""barcode_image"", ""description"", ""desc"", ""image"", ""image_view"", ""stock_uom"", ""brand"", ""qrcode"", ""fabric_width"", ""fabric_color"", ""barcode"", ""supplier_item_code"", ""size_for_merchandise"", ""items_image"", ""late_work_cost"", ""redeem_amount"", ""barcode_description"", ""add_image"", ""description_html"", ""process_details"", ""process_item"", ""more_details"", ""size_item"", ""measurement_formula"", ""measurement_template"", ""c"", ""measurement_formula_template"", ""s_"", ""test_label"", ""measurement_item"", ""style_item"", ""item_costing"", ""service"", ""fabric_costing"", ""costing_item"", ""raw_material"", ""raw_material_item"", ""inventory"", ""is_stock_item"", ""is_clubbed_product"", ""default_branch"", ""default_warehouse"", ""tolerance"", ""valuation_method"", ""min_order_qty"", ""column_break1"", ""is_asset_item"", ""has_batch_no"", ""has_serial_no"", ""serial_no_series"", ""warranty_period"", ""end_of_life"", ""net_weight"", ""weight_uom"", ""x"", ""sales_bom_item"", ""reorder_section"", ""re_order_level"", ""re_order_qty"", ""section_break_31"", ""item_reorder"", ""purchase_details"", ""is_purchase_item"", ""default_supplier"", ""lead_time_days"", ""expense_account"", ""buying_cost_center"", ""last_purchase_rate"", ""column_break2"", ""uom_conversion_details"", ""manufacturer"", ""manufacturer_part_no"", ""item_supplier_details"", ""sales_details"", ""is_sales_item"", ""is_service_item"", ""max_discount"", ""income_account"", ""selling_cost_center"", ""column_break3"", ""item_customer_details"", ""item_tax_section_break"", ""item_tax"", ""inspection_criteria"", ""inspection_required"", ""item_specification_details"", ""manufacturing"", ""is_manufactured_item"", ""default_bom"", ""is_pro_applicable"", ""is_sub_contracted_item"", ""customer_code"", ""website_section"", ""show_in_website"", ""page_name"", ""weightage"", ""slideshow"", ""website_image"", ""cb72"", ""website_warehouse"", ""website_item_groups"", ""sb72"", ""copy_from_item_group"", ""item_website_specifications"", ""web_long_description"", ""parent_website_route"", ""item_group_details"", ""column_break0"", ""naming_series""]","","Text",""
"","""Item-item_group_details-previous_field""","DocField","Item","previous_field","column_break0","item_group_details","Data",""
"","""Item-sales_bom_item-previous_field""","DocField","Item","previous_field","x","sales_bom_item","Data",""
"","""Item-x-previous_field""","DocField","Item","previous_field","weight_uom","x","Data",""
"","""Item-default_branch-previous_field""","DocField","Item","previous_field","is_stock_item","default_branch","Data",""
"","""Item-is_clubbed_product-previous_field""","DocField","Item","previous_field","is_stock_item","is_clubbed_product","Data",""
"","""Item-raw_material_item-previous_field""","DocField","Item","previous_field","raw_material","raw_material_item","Data",""
"","""Item-raw_material-previous_field""","DocField","Item","previous_field","costing_item","raw_material","Data",""
"","""Item-costing_item-previous_field""","DocField","Item","previous_field","service","costing_item","Data",""
"","""Item-fabric_costing-previous_field""","DocField","Item","previous_field","item_costing","fabric_costing","Data",""
"","""Item-service-previous_field""","DocField","Item","previous_field","item_costing","service","Data",""
"","""Item-item_costing-previous_field""","DocField","Item","previous_field","raw_material_item","item_costing","Data",""
"","""Item-style_item-previous_field""","DocField","Item","previous_field","measurement_item","style_item","Data",""
"","""Item-measurement_item-previous_field""","DocField","Item","previous_field","s_","measurement_item","Data",""
"","""Item-s_-previous_field""","DocField","Item","previous_field","measurement_formula_template","s_","Data",""
"","""Item-measurement_formula_template-previous_field""","DocField","Item","previous_field","c","measurement_formula_template","Data",""
"","""Item-c-previous_field""","DocField","Item","previous_field","measurement_template","c","Data",""
"","""Item-measurement_template-previous_field""","DocField","Item","previous_field","measurement_formula","measurement_template","Data",""
"","""Item-measurement_formula-previous_field""","DocField","Item","previous_field","size_item","measurement_formula","Data",""
"","""Item-size_item-previous_field""","DocField","Item","previous_field","more_details","size_item","Data",""
"","""Item-more_details-previous_field""","DocField","Item","previous_field","add_image","more_details","Data",""
"","""Item-process_item-previous_field""","DocField","Item","previous_field","style_item","process_item","Data",""
"","""Item-barcode_description-previous_field""","DocField","Item","previous_field","barcode_image","barcode_description","Data",""
"","""Item-redeem_amount-previous_field""","DocField","Item","previous_field","late_work_cost","redeem_amount","Data",""
"","""Serial No-gift_voucher_no-previous_field""","DocField","Serial No","previous_field","quality_check","gift_voucher_no","Data",""
"","""Sales Invoice-entries-hidden""","DocField","Sales Invoice","hidden","0","entries","Check",""
"","""Sales Invoice-read_only_onload""","DocType","Sales Invoice","read_only_onload","","","Check",""
"","""Sales Invoice-trial_date-previous_field""","DocField","Sales Invoice","previous_field","customer_name","trial_date","Data",""
"","""Work Order-_idx""","DocType","Work Order","_idx","[""work_order"", ""naming_series"", ""work_order_no"", ""status"", ""sales_invoice_no"", ""item_code"", ""barcode"", ""item_qty"", ""fabric__code"", ""trial_no"", ""trial_date"", ""delivery_date"", ""note"", ""other_work_orders"", ""column_break_4"", ""customer"", ""customer_name"", ""branch"", ""serial_no_data"", ""pdd"", ""qrcode"", ""trial_serial_no"", ""measured_by"", ""company"", ""section_break_5"", ""style_work_order"", ""wo_style"", ""measurement_details"", ""work_orders"", ""cb26"", ""fetch_measurement_details"", ""sb28"", ""measurement_item"", ""process_wise_warehouse_detail"", ""amended_from"", ""parent_item_code"", ""current_process"", ""total_process"", ""work_order_name""]","","Text",""
"","""Work Order-work_order_name-idx""","DocField","Work Order","idx","39","work_order_name","Int",""
"","""Work Order-total_process-idx""","DocField","Work Order","idx","38","total_process","Int",""
"","""Work Order-current_process-idx""","DocField","Work Order","idx","37","current_process","Int",""
"","""Work Order-parent_item_code-idx""","DocField","Work Order","idx","36","parent_item_code","Int",""
"","""Work Order-amended_from-idx""","DocField","Work Order","idx","35","amended_from","Int",""
"","""Work Order-measurement_item-idx""","DocField","Work Order","idx","33","measurement_item","Int",""
"","""Work Order-sb28-idx""","DocField","Work Order","idx","32","sb28","Int",""
"","""Work Order-fetch_measurement_details-idx""","DocField","Work Order","idx","31","fetch_measurement_details","Int",""
"","""Work Order-cb26-idx""","DocField","Work Order","idx","30","cb26","Int",""
"","""Work Order-work_orders-idx""","DocField","Work Order","idx","29","work_orders","Int",""
"","""Work Order-measurement_details-idx""","DocField","Work Order","idx","28","measurement_details","Int",""
"","""Work Order-wo_style-idx""","DocField","Work Order","idx","27","wo_style","Int",""
"","""Work Order-style_work_order-idx""","DocField","Work Order","idx","26","style_work_order","Int",""
"","""Work Order-section_break_5-idx""","DocField","Work Order","idx","25","section_break_5","Int",""
"","""Work Order-company-idx""","DocField","Work Order","idx","24","company","Int",""
"","""Work Order-measured_by-idx""","DocField","Work Order","idx","23","measured_by","Int",""
"","""Work Order-delivery_date-idx""","DocField","Work Order","idx","12","delivery_date","Int",""
"","""Work Order-read_only_onload""","DocType","Work Order","read_only_onload","","","Check",""
"","""Stock Entry Detail-sales_invoice_no-previous_field""","DocField","Stock Entry Detail","previous_field","work_order","sales_invoice_no","Data",""
"","""Stock Entry Detail-has_cut_order-previous_field""","DocField","Stock Entry Detail","previous_field","trials","has_cut_order","Data",""
"","""Stock Entry Detail-trials-previous_field""","DocField","Stock Entry Detail","previous_field","process","trials","Data",""
"","""Stock Entry Detail-has_trials-previous_field""","DocField","Stock Entry Detail","previous_field","process","has_trials","Data",""
"","""Stock Entry Detail-process-previous_field""","DocField","Stock Entry Detail","previous_field","work_order","process","Data",""
"","""Stock Entry Detail-customer_name-previous_field""","DocField","Stock Entry Detail","previous_field","sales_invoice_no","customer_name","Data",""
"","""Delivery Note-rounded_total_export-print_hide""","DocField","Delivery Note","print_hide","0","rounded_total_export","Check",""
"","""Delivery Note-rounded_total_export-hidden""","DocField","Delivery Note","hidden","0","rounded_total_export","Check",""
"","""Delivery Note-rounded_total-print_hide""","DocField","Delivery Note","print_hide","1","rounded_total","Check",""
"","""Delivery Note-rounded_total-hidden""","DocField","Delivery Note","hidden","0","rounded_total","Check",""
"","""Sales Invoice-rounded_total_export-print_hide""","DocField","Sales Invoice","print_hide","0","rounded_total_export","Check",""
"","""Sales Invoice-rounded_total_export-hidden""","DocField","Sales Invoice","hidden","0","rounded_total_export","Check",""
"","""Sales Invoice-rounded_total-print_hide""","DocField","Sales Invoice","print_hide","1","rounded_total","Check",""
"","""Sales Invoice-rounded_total-hidden""","DocField","Sales Invoice","hidden","0","rounded_total","Check",""
"","""Sales Order-rounded_total_export-print_hide""","DocField","Sales Order","print_hide","0","rounded_total_export","Check",""
"","""Sales Order-rounded_total_export-hidden""","DocField","Sales Order","hidden","0","rounded_total_export","Check",""
"","""Sales Order-rounded_total-print_hide""","DocField","Sales Order","print_hide","1","rounded_total","Check",""
"","""Sales Order-rounded_total-hidden""","DocField","Sales Order","hidden","0","rounded_total","Check",""
"","""Quotation-rounded_total_export-print_hide""","DocField","Quotation","print_hide","0","rounded_total_export","Check",""
"","""Quotation-rounded_total_export-hidden""","DocField","Quotation","hidden","0","rounded_total_export","Check",""
"","""Quotation-rounded_total-print_hide""","DocField","Quotation","print_hide","1","rounded_total","Check",""
"","""Quotation-rounded_total-hidden""","DocField","Quotation","hidden","0","rounded_total","Check",""
"","""Customer-select-previous_field""","DocField","Customer","previous_field","select_image","select","Data",""
"","""Task-process_allotment_number-previous_field""","DocField","Task","previous_field","sales_order_number","process_allotment_number","Data",""
"","""Customer-naming_series-hidden""","DocField","Customer","hidden","1","naming_series","Check",""
"","""Customer-naming_series-reqd""","DocField","Customer","reqd","0","naming_series","Check",""
"","""Selling Settings-show_sales_invoice_release_option-previous_field""","DocField","Selling Settings","previous_field","editable_price_list_rate","show_sales_invoice_release_option","Data",""
"","""Item-item_code-reqd""","DocField","Item","reqd","1","item_code","Check",""
"","""Item-item_code-hidden""","DocField","Item","hidden","0","item_code","Check",""
"","""Item-naming_series-hidden""","DocField","Item","hidden","1","naming_series","Check",""
"","""Item-naming_series-reqd""","DocField","Item","reqd","0","naming_series","Check",""
"","""Sales Invoice-update_stock-hidden""","DocField","Sales Invoice","hidden","1","update_stock","Check",""
"","""Sales Invoice-ignore_pricing_rule-hidden""","DocField","Sales Invoice","hidden","1","ignore_pricing_rule","Check",""
"","""Sales Invoice-mode_of_payment-hidden""","DocField","Sales Invoice","hidden","1","mode_of_payment","Check",""
"","""Sales Invoice-thank_you-previous_field""","DocField","Sales Invoice","previous_field","notification_send","thank_you","Data",""
"","""Sales Invoice-notification_send-previous_field""","DocField","Sales Invoice","previous_field","against_income_account","notification_send","Data",""
"","""Sales Invoice-referral_name-previous_field""","DocField","Sales Invoice","previous_field","referral","referral_name","Data",""
"","""Sales Invoice-referral-previous_field""","DocField","Sales Invoice","previous_field","redeem_points","referral","Data",""
"","""Sales Invoice-redeem_points-previous_field""","DocField","Sales Invoice","previous_field","total_earned_points","redeem_points","Data",""
"","""Sales Invoice-total_earned_points-previous_field""","DocField","Sales Invoice","previous_field","entries","total_earned_points","Data",""
"","""Sales Invoice-fabric_details-previous_field""","DocField","Sales Invoice","previous_field","sales_invoice_items_one","fabric_details","Data",""
"","""Sales Invoice-work_order_distribution-previous_field""","DocField","Sales Invoice","previous_field","merchandise_item","work_order_distribution","Data",""
"","""Sales Invoice-merchandise_item-previous_field""","DocField","Sales Invoice","previous_field","sales_invoice_items_one","merchandise_item","Data",""
"","""Sales Invoice-sales_invoice_items_one-previous_field""","DocField","Sales Invoice","previous_field","update_stock","sales_invoice_items_one","Data",""
"","""Sales Invoice-release-previous_field""","DocField","Sales Invoice","previous_field","authenticated","release","Data",""
"","""Sales Invoice-branch-previous_field""","DocField","Sales Invoice","previous_field","admin_authentication_note","branch","Data",""
"","""Sales Invoice-admin_authentication_note-previous_field""","DocField","Sales Invoice","previous_field","authenticated","admin_authentication_note","Data",""
"","""Sales Invoice-authenticated-previous_field""","DocField","Sales Invoice","previous_field","delivery_date","authenticated","Data",""
"","""Sales Invoice-delivery_date-previous_field""","DocField","Sales Invoice","previous_field","mode_of_payment","delivery_date","Data",""
"","""Sales Invoice-delivery_mode-previous_field""","DocField","Sales Invoice","previous_field","mode_of_payment","delivery_mode","Data",""
"","""Sales Invoice-is_multi_mode-previous_field""","DocField","Sales Invoice","previous_field","contact_email","is_multi_mode","Data",""
"","""Sales Invoice-selling_price_list-hidden""","DocField","Sales Invoice","hidden","0","selling_price_list","Check",""
"","""Stock Entry-stock_in-previous_field""","DocField","Stock Entry","previous_field","purpose","stock_in","Data",""
"","""Stock Entry-process-previous_field""","DocField","Stock Entry","previous_field","refer_doctype_name","process","Data",""
"","""Stock Entry-refer_doctype_name-previous_field""","DocField","Stock Entry","previous_field","sales_invoice","refer_doctype_name","Data",""
"","""Stock Entry-sales_invoice-previous_field""","DocField","Stock Entry","previous_field","select_print_heading","sales_invoice","Data",""
"","""Stock Entry-t_branch-previous_field""","DocField","Stock Entry","previous_field","to_warehouse","t_branch","Data",""
"","""Stock Entry-f_branch-previous_field""","DocField","Stock Entry","previous_field","from_warehouse","f_branch","Data",""
"","""Stock Entry-qrcode-previous_field""","DocField","Stock Entry","previous_field","barcode","qrcode","Data",""
"","""Stock Entry-barcode-previous_field""","DocField","Stock Entry","previous_field","posting_time","barcode","Data",""
"","""Stock Entry-branch-previous_field""","DocField","Stock Entry","previous_field","stock_in","branch","Data",""
"","""Stock Entry-purpose_type-previous_field""","DocField","Stock Entry","previous_field","naming_series","purpose_type","Data",""
"","""Stock Entry-read_only_onload""","DocType","Stock Entry","read_only_onload","","","Check",""
"","""Employee-employee_number-reqd""","DocField","Employee","reqd","1","employee_number","Check",""
"","""Employee-employee_number-hidden""","DocField","Employee","hidden","0","employee_number","Check",""
"","""Employee-naming_series-hidden""","DocField","Employee","hidden","1","naming_series","Check",""
"","""Employee-naming_series-reqd""","DocField","Employee","reqd","0","naming_series","Check",""
"","""Quality Inspection-sales_invoice_no-previous_field""","DocField","Quality Inspection","previous_field","item_serial_no","sales_invoice_no","Data",""
"","""Quality Inspection-customer_name-previous_field""","DocField","Quality Inspection","previous_field","item_serial_no","customer_name","Data",""
"","""Quality Inspection-work_order-previous_field""","DocField","Quality Inspection","previous_field","serial_no_data","work_order","Data",""
"","""Process Allotment-_idx""","DocType","Process Allotment","_idx","[""product_details"", ""sales_invoice_no"", ""item"", ""add"", ""process_work_order"", ""serials_data"", ""finished_good_qty"", ""column_break_3"", ""process_status"", ""process"", ""branch"", ""customer_name"", ""barcode"", ""qrcode"", ""process_status_changes"", ""skip_process"", ""section_break_11"", ""emp_status"", ""process_tailor"", ""employee_name"", ""serial_no"", ""from_time"", ""start_date"", ""end_date"", ""estimated_time"", ""completed_time"", ""payment"", ""wages"", ""customer_trials"", ""deduct_late_work"", ""latework"", ""cost"", ""assigned"", ""column_break_16"", ""process_trials"", ""qc"", ""work_order"", ""serial_no_data"", ""work_qty"", ""task"", ""extra_charge"", ""extra_charge_amount"", ""section_break_23"", ""employee_details"", ""section_break_19"", ""trials_transaction"", ""section_break_6"", ""wo_process"", ""issue_raw_material"", ""make_stock_entry"", ""section_break_5"", ""column_break_7"", ""stock_entry"", ""section_break_17"", ""process_no"", ""has_trials"", ""pdd"", ""trial_dates"", ""qi_status"", ""amended_from""]","","Text",""
"","""Process Allotment-payment-idx""","DocField","Process Allotment","idx","27","payment","Int",""
"","""Process Allotment-completed_time-idx""","DocField","Process Allotment","idx","26","completed_time","Int",""
"","""Process Allotment-estimated_time-idx""","DocField","Process Allotment","idx","25","estimated_time","Int",""
"","""Process Allotment-end_date-idx""","DocField","Process Allotment","idx","24","end_date","Int",""
"","""Process Allotment-start_date-idx""","DocField","Process Allotment","idx","23","start_date","Int",""
"","""Process Allotment-from_time-idx""","DocField","Process Allotment","idx","22","from_time","Int",""
"","""Process Allotment-serial_no-idx""","DocField","Process Allotment","idx","21","serial_no","Int",""
"","""Process Allotment-employee_name-idx""","DocField","Process Allotment","idx","20","employee_name","Int",""
"","""Process Allotment-process_tailor-idx""","DocField","Process Allotment","idx","19","process_tailor","Int",""
"","""Process Allotment-read_only_onload""","DocType","Process Allotment","read_only_onload","","","Check",""
"","""File Data-type_of_file-previous_field""","DocField","File Data","previous_field","content_hash","type_of_file","Data",""
"","""Item-qrcode-previous_field""","DocField","Item","previous_field","brand","qrcode","Data",""
"","""Item-late_work_cost-previous_field""","DocField","Item","previous_field","items_image","late_work_cost","Data",""
"","""Item-items_image-previous_field""","DocField","Item","previous_field","size_for_merchandise","items_image","Data",""
"","""Item-size_for_merchandise-previous_field""","DocField","Item","previous_field","items_image","size_for_merchandise","Data",""
"","""Item-supplier_item_code-previous_field""","DocField","Item","previous_field","barcode","supplier_item_code","Data",""
"","""Item-fabric_width-previous_field""","DocField","Item","previous_field","fabric_color","fabric_width","Data",""
"","""Item-barcode-idx""","DocField","Item","idx","20","barcode","Int",""
"","""Cut Order Item-customer-previous_field""","DocField","Cut Order Item","previous_field","select","customer","Data",""
"","""Style Item-_idx""","DocType","Style Item","_idx","[""default"", ""style"", ""default_value"", ""add_image"", ""image_viewer"", ""column_break_5"", ""abbreviation"", ""cost_to_customer"", ""cost_to_tailor"", ""note""]","","Text",""
"","""Style Item-note-idx""","DocField","Style Item","idx","10","note","Int",""
"","""Style Item-cost_to_tailor-idx""","DocField","Style Item","idx","9","cost_to_tailor","Int",""
"","""Style Item-cost_to_customer-idx""","DocField","Style Item","idx","8","cost_to_customer","Int",""
"","""Style Item-abbreviation-idx""","DocField","Style Item","idx","7","abbreviation","Int",""
"","""Style Item-column_break_5-idx""","DocField","Style Item","idx","6","column_break_5","Int",""
"","""Style Item-image_viewer-idx""","DocField","Style Item","idx","5","image_viewer","Int",""
"","""Style Item-add_image-idx""","DocField","Style Item","idx","4","add_image","Int",""
"","""Style Item-default_value-idx""","DocField","Style Item","idx","3","default_value","Int",""
"","""Style Item-style-idx""","DocField","Style Item","idx","2","style","Int",""
"","""Style Item-read_only_onload""","DocType","Style Item","read_only_onload","","","Check",""
"","""Sales Invoice Item-tailoring_size-previous_field""","DocField","Sales Invoice Item","previous_field","fabric_qty","tailoring_size","Data",""
"","""Sales Invoice Item-fabric_qty-previous_field""","DocField","Sales Invoice Item","previous_field","fabric_code","fabric_qty","Data",""
"","""Sales Invoice Item-delivery_date-previous_field""","DocField","Sales Invoice Item","previous_field","sales_invoice_branch","delivery_date","Data",""
"","""Sales Invoice Item-sales_invoice_branch-previous_field""","DocField","Sales Invoice Item","previous_field","warehouse","sales_invoice_branch","Data",""
"","""Sales Invoice Item-serial_no-print_hide""","DocField","Sales Invoice Item","print_hide","1","serial_no","Check",""
"","""Sales Invoice Item-fabric_code-previous_field""","DocField","Sales Invoice Item","previous_field","page_break","fabric_code","Data",""
"","""Production Details-select-hidden""","DocField","Production Details","hidden","1","select","Check",""
"","""Production Details-read_only_onload""","DocType","Production Details","read_only_onload","","","Check",""
"","""Production Details-fabric_qty-hidden""","DocField","Production Details","hidden","1","fabric_qty","Check",""
"","""Production Details-actual_qty-hidden""","DocField","Production Details","hidden","1","actual_qty","Check",""
"","""Production Details-size-hidden""","DocField","Production Details","hidden","1","size","Check",""
"","""Stock Entry Detail-work_order-previous_field""","DocField","Stock Entry Detail","previous_field","material_request_item","work_order","Data",""
"","""Stock Entry Detail-invoice_no-previous_field""","DocField","Stock Entry Detail","previous_field","incoming_rate","invoice_no","Data",""
"","""Stock Entry Detail-target_warehouse-previous_field""","DocField","Stock Entry Detail","previous_field","t_warehouse","target_warehouse","Data",""
"","""Stock Entry Detail-target_branch-previous_field""","DocField","Stock Entry Detail","previous_field","col_break1","target_branch","Data",""
"","""Stock Entry Detail-source_warehouse-previous_field""","DocField","Stock Entry Detail","previous_field","s_warehouse","source_warehouse","Data",""
"","""Work Order-branch-options""","DocField","Work Order","options","Branch","branch","Text",""
"","""Quality Inspection-item_serial_no-hidden""","DocField","Quality Inspection","hidden","1","item_serial_no","Check",""
"","""Quality Inspection-serial_no_data-previous_field""","DocField","Quality Inspection","previous_field","batch_no","serial_no_data","Data",""
"","""Quality Inspection-trial_no-previous_field""","DocField","Quality Inspection","previous_field","process","trial_no","Data",""
"","""Quality Inspection-process-previous_field""","DocField","Quality Inspection","previous_field","pdd","process","Data",""
"","""Quality Inspection-sample_size-print_hide""","DocField","Quality Inspection","print_hide","1","sample_size","Check",""
"","""Quality Inspection-naming_series-print_hide""","DocField","Quality Inspection","print_hide","1","naming_series","Check",""
"","""Quality Inspection-tdd-previous_field""","DocField","Quality Inspection","previous_field","trial_no","tdd","Data",""
"","""Task-process_name-previous_field""","DocField","Task","previous_field","exp_end_date","process_name","Data",""
"","""EmployeeSkill-cost-label""","DocField","EmployeeSkill","label","Piece Rate","cost","Data",""
"","""EmployeeSkill-read_only_onload""","DocType","EmployeeSkill","read_only_onload","","","Check",""
"","""Item-swatch_id-previous_field""","DocField","Item","previous_field","item_sub_group","swatch_id","Data",""
"","""Item-supplier_code-previous_field""","DocField","Item","previous_field","brand","supplier_code","Data",""
